
2019-04-28 15:35:03 : کد نماد			
2019-04-28 15:35:03 : IRB5IKCO8751	اوراق مشاركت ايران‌ خودرو		18719101
2019-04-28 15:35:03 : IRO1SSEP0001	سيمان‌سپاهان‌		سپاها
2019-04-28 15:35:03 : IRR1SSEP0101	ح . سيمان‌سپاهان‌		سپاهاح
2019-04-28 15:35:03 : IRO1PRMT0001	پرميت		سپرمي
2019-04-28 15:35:03 : IRO1STEH0001	سيمان‌ تهران‌		ستران
2019-04-28 15:35:03 : IRR1STEH0101	ح . سيمان‌ تهران‌		سترانح
2019-04-28 15:35:03 : IRO1SKHS0001	سيمان‌خاش‌		سخاش
2019-04-28 15:35:03 : IRR1SKHS0101	ح . سيمان‌خاش‌		سخاشح
2019-04-28 15:35:03 : IRO1SKAZ0001	سيمان‌ خزر		سخزر
2019-04-28 15:35:03 : IRR1SKAZ0101	ح . سيمان‌ خزر		سخزرح
2019-04-28 15:35:03 : IRO1KHOC0001	سيمان خوزستان		سخوز
2019-04-28 15:35:03 : IRO1SDST0001	صنايع سيمان دشتستان		سدشت
2019-04-28 15:35:03 : IRR1SDST0101	ح .صنايع سيمان دشتستان		سدشتح
2019-04-28 15:35:03 : IRO1SDOR0001	سيمان‌ دورود		سدور
2019-04-28 15:35:03 : IRR1SDOR0101	ح . سيمان‌ دورود		سدورح
2019-04-28 15:35:03 : IRO1SROD0001	سيمان‌شاهرود		سرود
2019-04-28 15:35:03 : IRR1SROD0101	ح . سيمان‌شاهرود		سرودح
2019-04-28 15:35:03 : IRO1SSHR0001	سيمان‌ شرق‌		سشرق
2019-04-28 15:35:03 : IRR1SSHR0101	ح . سيمان‌ شرق‌		سشرقح
2019-04-28 15:35:03 : IRO1SIMS0001	سيمان‌ شمال‌		سشمال
2019-04-28 15:35:03 : IRR1SIMS0101	ح . سيمان‌ شمال‌		سشمالح
2019-04-28 15:35:03 : IRO1SEFH0001	سيمان‌اصفهان‌		سصفها
2019-04-28 15:35:03 : IRR1SEFH0101	ح . سيمان‌اصفهان‌		سصفهاح
2019-04-28 15:35:03 : IRO1SSOF0001	سيمان‌ صوفيان‌		سصوفي
2019-04-28 15:35:03 : IRR1SSOF0101	ح . سيمان‌ صوفيان‌		سصوفيح
2019-04-28 15:35:03 : IRO1GDRS0001	توسعه سرمايه و صنعت غدير		سغدير
2019-04-28 15:35:03 : IRO1SGRB0001	سيمان‌غرب‌		سغرب
2019-04-28 15:35:03 : IRR1SGRB0101	ح . سيمان‌غرب‌		سغربح
2019-04-28 15:35:03 : IRO1SFRS0001	سيمان‌فارس‌		سفار
2019-04-28 15:35:03 : IRR1SFRS0101	ح . سيمان‌فارس‌		سفارح
2019-04-28 15:35:03 : IRO1SFKZ0001	سيمان فارس و خوزستان		سفارس
2019-04-28 15:35:03 : IRR1SFKZ0101	ح . سيمان فارس و خوزستان		سفارسح
2019-04-28 15:35:03 : IRO1FRDO0001	كارخانه‌فارسيت‌درود		سفارود
2019-04-28 15:35:03 : IRR1FRDO0101	ح . كارخانه‌فارسيت‌درود		سفارودح
2019-04-28 15:35:03 : IRO1SFAS0001	فارسيت‌ اهواز		سفاسيت
2019-04-28 15:35:03 : IRR1SFAS0101	ح . فارسيت‌ اهواز		سفاسيتح
2019-04-28 15:35:03 : IRO1SFNO0001	سيمان فارس نو		سفانو
2019-04-28 15:35:03 : IRR1SFNO0101	ح . سيمان فارس نو		سفانوح
2019-04-28 15:35:03 : IRO1SGEN0001	سيمان‌ قائن‌		سقاين
2019-04-28 15:35:03 : IRR1SGEN0101	ح . سيمان‌ قائن‌		سقاينح
2019-04-28 15:35:03 : IRO1SKRN0001	سيمان‌ كارون‌		سكارون
2019-04-28 15:35:03 : IRR1SKRN0101	ح . سيمان‌ كارون‌		سكارونح
2019-04-28 15:35:03 : IRO1SKOR0001	سيمان كردستان		سكرد
2019-04-28 15:35:03 : IRR1SKOR0101	ح . سيمان كردستان		سكردح
2019-04-28 15:35:03 : IRO1SKER0001	سيمان‌ كرمان‌		سكرما
2019-04-28 15:35:03 : IRR1SKER0101	ح . سيمان‌ كرمان‌		سكرماح
2019-04-28 15:35:03 : IRO1SMAZ0001	سيمان‌مازندران‌		سمازن
2019-04-28 15:35:03 : IRR1SMAZ0101	ح . سيمان‌مازندران‌		سمازنح
2019-04-28 15:35:03 : IRO1SSNR0001	سيمان‌ سفيد ني‌ريز		سنير
2019-04-28 15:35:03 : IRR1SSNR0101	ح . سيمان‌ سفيدني‌ريز		سنيرح
2019-04-28 15:35:03 : IRO1SHZG0001	سيمان‌هرمزگان‌		سهرمز
2019-04-28 15:35:03 : IRR1SHZG0101	ح . سيمان‌هرمزگان‌		سهرمزح
2019-04-28 15:35:03 : IRO1SHGN0001	سيمان‌هگمتان‌		سهگمت
2019-04-28 15:35:03 : IRR1SHGN0101	ح . سيمان‌هگمتان‌		سهگمتح
2019-04-28 15:35:03 : IRO1CIDC0001	سرمايه گذاري توسعه صنايع سيمان		سيدكو
2019-04-28 15:35:03 : IRR1CIDC0101	ح . س. توسعه صنايع سيمان		سيدكوح
2019-04-28 15:35:03 : IRO1SYSM0001	همكاران سيستم		سيستم
2019-04-28 15:35:03 : IRO1SEIL0001	سيمان‌ ايلام‌		سيلام
2019-04-28 15:35:03 : IRR1SEIL0101	ح . سيمان‌ ايلام‌		سيلامح
2019-04-28 15:35:04 : IRO1SMRG0001	سيمرغ		سيمرغ
2019-04-28 15:35:04 : IRO1FSIN0001	مالي و سرمايه گذاري سينا		سينا
2019-04-28 15:35:04 : IRO1PARK0001	پتروشيمي شازند		شاراك
2019-04-28 15:35:04 : IRR1PARK0101	ح . پتروشيمي شازند		شاراكح
2019-04-28 15:35:04 : IRO1AMLH0001	معدني‌ املاح‌ ايران‌		شاملا
2019-04-28 15:35:04 : IRR1AMLH0101	ح . معدني‌ املاح‌ ايران‌		شاملاح
2019-04-28 15:35:04 : IRO1PNTB0001	پالايش نفت تبريز		شبريز
2019-04-28 15:35:04 : IRR1PNTB0101	ح. پالايش نفت تبريز		شبريزح
2019-04-28 15:35:04 : IRO1PNBA0001	پالايش نفت بندرعباس		شبندر
2019-04-28 15:35:04 : IRO1NBEH0001	نفت‌ بهران‌		شبهرن
2019-04-28 15:35:04 : IRR1NBEH0101	ح . نفت‌ بهران‌		شبهرنح
2019-04-28 15:35:04 : IRO1BMPS0001	بين‌ المللي‌ محصولات‌ پارس‌		شپارس
2019-04-28 15:35:04 : IRR1BMPS0101	ح . بين‌ المللي‌محصولات پارس‌		شپارسح
2019-04-28 15:35:04 : IRO1PAKS0001	پاكسان‌		شپاكسا
2019-04-28 15:35:04 : IRR1PAKS0101	ح . پاكسان‌		شپاكساح
2019-04-28 15:35:04 : IRO1PABD0001	پتروشيمي‌ آبادان‌		شپترو
2019-04-28 15:35:04 : IRR1PABD0101	ح . پتروشيمي‌ آبادان‌		شپتروح
2019-04-28 15:35:04 : IRO1PRDZ0001	پتروشيمي پرديس		شپديس
2019-04-28 15:35:04 : IRR1PRDZ0101	ح. پتروشيمي پرديس		شپديسح
2019-04-28 15:35:04 : IRO1PLAK0001	پلي‌اكريل‌		شپلي
2019-04-28 15:35:04 : IRR1PLAK0101	ح . پلي‌اكريل‌		شپليح
2019-04-28 15:35:04 : IRO1PPAM0001	پارس‌ پامچال‌		شپمچا
2019-04-28 15:35:04 : IRR1PPAM0101	ح . پارس‌ پامچال‌		شپمچاح
2019-04-28 15:35:04 : IRO1PNES0001	پالايش نفت اصفهان		شپنا
2019-04-28 15:35:04 : IRR1PNES0101	ح . پالايش نفت اصفهان		شپناح
2019-04-28 15:35:04 : IRO1PTEH0001	پالايش نفت تهران		شتران
2019-04-28 15:35:04 : IRO1THSH0001	تهران‌ شيمي‌		شتهران
2019-04-28 15:35:04 : IRR1THSH0101	ح . تهران‌ شيمي‌		شتهرانح
2019-04-28 15:35:04 : IRO1TOPI0001	تولي‌پرس‌		شتولي
2019-04-28 15:35:04 : IRR1TOPI0101	ح . تولي‌پرس‌		شتوليح
2019-04-28 15:35:04 : IRO1NJEY0001	شركت نفت جي		شجي
2019-04-28 15:35:04 : IRO1PKHA0001	پتروشيمي‌ خارك‌		شخارك
2019-04-28 15:35:04 : IRR1PKHA0101	ح . پتروشيمي‌ خارك‌		شخاركح
2019-04-28 15:35:04 : IRO1DODE0001	دوده‌ صنعتي‌ پارس‌		شدوص
2019-04-28 15:35:04 : IRR1DODE0101	ح . دوده‌ صنعتي‌ پارس‌		شدوصح
2019-04-28 15:35:04 : IRO1SHRG0001	صنعتي‌ رنگين‌		شرنگي
2019-04-28 15:35:04 : IRR1SHRG0101	ح . صنعتي‌ رنگين‌		شرنگيح
2019-04-28 15:35:04 : IRO1ZNGN0001	تجهيزنيروي‌زنگان‌		شزنگ
2019-04-28 15:35:04 : IRR1ZNGN0101	ح . تجهيزنيروي‌زنگان‌		شزنگح
2019-04-28 15:35:04 : IRO1SEPP0001	نفت سپاهان		شسپا
2019-04-28 15:35:04 : IRO1TSAL0001	توليد سموم‌ علف‌ كش		شسم
2019-04-28 15:35:04 : IRR1TSAL0101	ح . توليد سموم‌ علف‌ كش		شسمح
2019-04-28 15:35:04 : IRO1SHSI0001	صنايع‌شيميايي‌سينا		شسينا
2019-04-28 15:35:04 : IRR1SHSI0101	ح . صنايع‌شيميايي‌سينا		شسيناح
2019-04-28 15:35:04 : IRO1PESF0001	پتروشيمي‌ اصفهان‌		شصفها
2019-04-28 15:35:04 : IRR1PESF0101	ح . پتروشيمي‌ اصفهان‌		شصفهاح
2019-04-28 15:35:04 : IRO1SHFA0001	سرمايه گذاري شفادارو		شفا
2019-04-28 15:35:04 : IRO1PFRB0001	پتروشيمي‌فارابي‌		شفارا
2019-04-28 15:35:04 : IRR1PFRB0101	ح . پتروشيمي‌فارابي‌		شفاراح
2019-04-28 15:35:04 : IRO1SHFS0001	صنايع‌ شيميايي‌ فارس‌		شفارس
2019-04-28 15:35:04 : IRR1SHFS0101	ح . صنايع‌ شيميايي‌ فارس‌		شفارسح
2019-04-28 15:35:04 : IRO1PFAN0001	پتروشيمي فناوران		شفن
2019-04-28 15:35:04 : IRR1PFAN0101	ح . پتروشيمي فناوران		شفنح
2019-04-28 15:35:04 : IRO1CRBN0001	كربن‌ ايران‌		شكربن
2019-04-28 15:35:04 : IRR1CRBN0101	ح . كربن‌ ايران‌		شكربنح
2019-04-28 15:35:04 : IRO1KAFF0001	كف‌		شكف
2019-04-28 15:35:04 : IRR1KAFF0101	ح . كف‌		شكفح
2019-04-28 15:35:04 : IRO1NKOL0001	نيروكلر		شكلر
2019-04-28 15:35:04 : IRR1NKOL0101	ح . نيروكلر		شكلرح
2019-04-28 15:35:04 : IRO1GTSH0001	گلتاش‌		شگل
2019-04-28 15:35:04 : IRR1GTSH0101	ح . گلتاش‌		شگلح
2019-04-28 15:35:04 : IRO1LEAB0001	لعابيران‌		شلعاب
2019-04-28 15:35:04 : IRR1LEAB0101	ح . لعابيران‌		شلعابح
2019-04-28 15:35:04 : IRO1SLVN0001	رنگ پارس الوان		شلوان
2019-04-28 15:35:04 : IRO1MAVA0001	توليدمواداوليه الياف‌مصنوعي‌		شمواد
2019-04-28 15:35:04 : IRR1MAVA0101	ح . مواداوليه‌الياف‌مصنوعي‌		شموادح
2019-04-28 15:35:04 : IRO1NPRS0001	نفت‌ پارس‌		شنفت
2019-04-28 15:35:04 : IRR1NPRS0101	ح . نفت‌ پارس‌		شنفتح
2019-04-28 15:35:04 : IRO1VASH0001	هنكل‌ پاك‌ وش‌		شوش
2019-04-28 15:35:04 : IRR1VASH0101	ح . هنكل‌ پاك‌ وش‌		شوشح
2019-04-28 15:35:04 : IRO1SHOY0001	مديريت صنعت شوينده ت.ص.بهشهر		شوينده
2019-04-28 15:35:04 : IRO1PSHZ0001	پتروشيمي‌شيراز		شيراز
2019-04-28 15:35:04 : IRR1PSHZ0101	ح . پتروشيمي‌شيراز		شيرازح
2019-04-28 15:35:04 : IRO1SSIN0001	س. صنايع‌شيميايي‌ايران		شيران
2019-04-28 15:35:04 : IRR1SSIN0101	ح . س. صنايع‌شيميايي‌ايران‌		شيرانح
2019-04-28 15:35:04 : IRO1PIAZ0001	كشت‌وصنعت‌پياذر		غاذر
2019-04-28 15:35:04 : IRR1PIAZ0101	ح . كشت‌وصنعت‌پياذر		غاذرح
2019-04-28 15:35:04 : IRO1KLBR0001	لبنيات‌كالبر		غالبر
2019-04-28 15:35:04 : IRR1KLBR0101	ح . لبنيات‌كالبر		غالبرح
2019-04-28 15:35:04 : IRO1SBEH0001	صنعتي‌ بهشهر		غبشهر
2019-04-28 15:35:04 : IRR1SBEH0101	ح . صنعتي‌ بهشهر		غبشهرح
2019-04-28 15:35:04 : IRO1BEPP0001	بهپاك‌		غبهپاك
2019-04-28 15:35:04 : IRR1BEPP0101	ح . بهپاك‌		غبهپاكح
2019-04-28 15:35:04 : IRO1BENN0001	بهنوش‌ ايران‌		غبهنوش
2019-04-28 15:35:04 : IRR1BENN0101	ح . بهنوش‌ ايران‌		غبهنوشح
2019-04-28 15:35:04 : IRO1LPAK0001	لبنيات‌ پاك‌		غپاك
2019-04-28 15:35:04 : IRR1LPAK0101	ح . لبنيات‌ پاك‌		غپاكح
2019-04-28 15:35:04 : IRO1MINO0001	پارس‌ مينو		غپينو
2019-04-28 15:35:04 : IRR1MINO0101	ح . پارس‌ مينو		غپينوح
2019-04-28 15:35:04 : IRO1CHCH0001	كشت‌ و صنعت‌ چين‌ چين		غچين
2019-04-28 15:35:04 : IRR1CHCH0101	ح . كشت‌ و صنعت‌ چين‌ چين		غچينح
2019-04-28 15:35:04 : IRO1KDPS0001	خوراك‌ دام‌ پارس‌		غدام
2019-04-28 15:35:04 : IRR1KDPS0101	ح . خوراك‌ دام‌ پارس‌		غدامح
2019-04-28 15:35:04 : IRO1DMOR0001	دشت‌ مرغاب‌		غدشت
2019-04-28 15:35:04 : IRR1DMOR0101	ح . دشت‌ مرغاب‌		غدشتح
2019-04-28 15:35:04 : IRO1SASN0001	ساسان‌		غساسا
2019-04-28 15:35:04 : IRR1SASN0101	ح . ساسان‌		غساساح
2019-04-28 15:35:04 : IRO1SLMN0001	سالمين‌		غسالم
2019-04-28 15:35:04 : IRR1SLMN0101	ح . ‌سالمين‌		غسالمح
2019-04-28 15:35:04 : IRO1SHPZ0001	پگاه‌آذربايجان‌غربي‌		غشاذر
2019-04-28 15:35:04 : IRR1SHPZ0101	ح . ‌پگاه‌آذربايجان‌غربي‌		غشاذرح
2019-04-28 15:35:04 : IRO1SPKH0001	شيرپاستوريزه‌پگاه‌خراسان‌		غشان
2019-04-28 15:35:04 : IRR1SPKH0101	ح . شيرپاستوريزه‌پگاه‌خراسان‌		غشانح
2019-04-28 15:35:04 : IRO1SPPE0001	شيرپاستوريزه‌پگاه‌اصفهان‌		غشصفا
2019-04-28 15:35:04 : IRR1SPPE0101	ح . شيرپاستوريزه‌پگاه‌اصفهان‌		غشصفاح
2019-04-28 15:35:04 : IRO1SHAD0001	شهد ايران‌		غشهد
2019-04-28 15:35:04 : IRR1SHAD0101	ح . شهد ايران‌		غشهدح
2019-04-28 15:35:04 : IRO1GORJ0001	بيسكويت‌ گرجي‌		غگرجي
2019-04-28 15:35:04 : IRR1GORJ0101	ح . بيسكويت‌ گرجي‌		غگرجيح
2019-04-28 15:35:04 : IRO1GCOZ0001	گلوكوزان‌		غگل
2019-04-28 15:35:04 : IRR1GCOZ0101	ح . گلوكوزان‌		غگلح
2019-04-28 15:35:04 : IRO1MRGN0001	مارگارين‌		غمارگ
2019-04-28 15:35:04 : IRR1MRGN0101	ح . مارگارين‌		غمارگح
2019-04-28 15:35:04 : IRO1MRAM0001	توليدي‌مهرام‌		غمهرا
2019-04-28 15:35:04 : IRR1MRAM0101	ح . توليدي‌مهرام‌		غمهراح
2019-04-28 15:35:04 : IRO1RNAB0001	روغن‌ نباتي‌ ناب‌		غناب
2019-04-28 15:35:04 : IRR1RNAB0101	ح . روغن‌ نباتي‌ ناب‌		غنابح
2019-04-28 15:35:04 : IRO1NOSH0001	نوش‌ مازندران‌		غنوش
2019-04-28 15:35:04 : IRR1NOSH0101	ح . نوش‌مازندران‌		غنوشح
2019-04-28 15:35:04 : IRO1KIVN0001	كيوان‌		غيوان
2019-04-28 15:35:04 : IRR1KIVN0101	ح . كيوان‌		غيوانح
2019-04-28 15:35:04 : IRO1AZAB0001	صنايع‌ آذرآب‌		فاذر
2019-04-28 15:35:04 : IRR1AZAB0101	ح . صنايع‌ آذرآب‌		فاذرح
2019-04-28 15:35:04 : IRO1MARK0001	ماشين‌ سازي‌ اراك‌		فاراك
2019-04-28 15:35:04 : IRR1MARK0101	ح . ماشين‌ سازي‌ اراك‌		فاراكح
2019-04-28 15:35:04 : IRO1PKLJ0001	صنايع پتروشيمي خليج فارس		فارس
2019-04-28 15:35:04 : IRO1KSIM0001	كالسيمين‌		فاسمين
2019-04-28 15:35:04 : IRR1KSIM0101	ح . كالسيمين‌		فاسمينح
2019-04-28 15:35:04 : IRO1ALTK0001	آلومتك‌		فالوم
2019-04-28 15:35:04 : IRR1ALTK0101	ح . آلومتك‌		فالومح
2019-04-28 15:35:04 : IRO1SAMA0001	صنعتي‌ آما		فاما
2019-04-28 15:35:04 : IRR1SAMA0101	ح . صنعتي‌ آما		فاماح
2019-04-28 15:35:04 : IRO1NLAH0001	نوردولوله‌ اهواز		فاهواز
2019-04-28 15:35:04 : IRR1NLAH0101	ح . نوردولوله‌ اهواز		فاهوازح
2019-04-28 15:35:04 : IRO1ALIR0001	آلومينيوم‌ايران‌		فايرا
2019-04-28 15:35:04 : IRR1ALIR0101	ح . آلومينيوم‌ايران‌		فايراح
2019-04-28 15:35:04 : IRO1BAHN0001	مس‌ شهيدباهنر		فباهنر
2019-04-28 15:35:04 : IRR1BAHN0101	ح . مس‌ شهيدباهنر		فباهنرح
2019-04-28 15:35:04 : IRO1BMAS0001	صنايع‌بسته‌بندي‌ مشهد		فبستم
2019-04-28 15:35:04 : IRR1BMAS0101	ح . صنايع‌بسته‌بندي‌ مشهد		فبستمح
2019-04-28 15:35:04 : IRO1BIRI0001	بسته‌ بندي‌ ايران‌		فبيرا
2019-04-28 15:35:04 : IRR1BIRI0101	ح . بسته‌ بندي‌ ايران‌		فبيراح
2019-04-28 15:35:04 : IRO1ALPS0001	آلومينيم‌ پارس‌		فپارس
2019-04-28 15:35:04 : IRR1ALPS0101	ح . آلومينيم‌ پارس‌		فپارسح
2019-04-28 15:35:04 : IRO1SPTA0001	سپنتا		فپنتا
2019-04-28 15:35:04 : IRR1SPTA0101	ح . سپنتا		فپنتاح
2019-04-28 15:35:04 : IRO1JAMD0001	جام‌دارو		فجام
2019-04-28 15:35:04 : IRR1JAMD0101	ح . جام‌دارو		فجامح
2019-04-28 15:35:04 : IRO1FAJR0001	فولاد اميركبيركاشان		فجر
2019-04-28 15:35:04 : IRR1FAJR0101	ح .فولاد امير كبير كاشان		فجرح
2019-04-28 15:35:04 : IRO1JSHO0001	جوش‌ و اكسيژن‌ ايران‌		فجوش
2019-04-28 15:35:04 : IRR1JSHO0101	ح . جوش‌ و اكسيژن‌ ايران‌		فجوشح
2019-04-28 15:35:04 : IRO1FKAS0001	فولاد خراسان		فخاس
2019-04-28 15:35:04 : IRR1FKAS0101	ح . فولاد خراسان		فخاسح
2019-04-28 15:35:04 : IRO1FKHZ0001	فولاد خوزستان		فخوز
2019-04-28 15:35:04 : IRR1FKHZ0101	ح . فولاد خوزستان		فخوزح
2019-04-28 15:35:04 : IRO1FRVR0001	فرآوري‌موادمعدني‌ايران‌		فرآور
2019-04-28 15:35:04 : IRR1FRVR0101	ح . فرآوري‌موادمعدني‌ايران‌		فرآورح
2019-04-28 15:35:04 : IRO1FRIS0001	فروسيليس‌ ايران‌		فروس
2019-04-28 15:35:04 : IRR1FRIS0101	ح . فروسيليس‌ ايران‌		فروسح
2019-04-28 15:35:04 : IRO1TFKR0001	توليدفروموليبدن‌كرمان‌		فروم
2019-04-28 15:35:04 : IRR1TFKR0101	ح . توليدفروموليبدن‌كرمان‌		فرومح
2019-04-28 15:35:04 : IRO1FSAZ0001	غلتك سازان سپاهان		فساز
2019-04-28 15:35:04 : IRO1LSAH0001	لوله‌سازي‌اهواز		فساز
2019-04-28 15:35:04 : IRO1SEPA0001	گروه‌صنعتي‌سپاهان‌		فسپا
2019-04-28 15:35:04 : IRR1SEPA0101	ح . گروه‌صنعتي‌سپاهان‌		فسپاح
2019-04-28 15:35:04 : IRO1LSDD0001	لوله و تجهيزات سديد		فسديد
2019-04-28 15:35:04 : IRR1LSDD0101	ح . لوله و تجهيزات سديد		فسديدح
2019-04-28 15:35:04 : IRO1SORB0001	ملي‌ سرب‌وروي‌ ايران‌		فسرب
2019-04-28 15:35:04 : IRR1SORB0101	ح . ملي‌ سرب‌وروي‌ ايران‌		فسربح
2019-04-28 15:35:04 : IRO1SOLI0001	سوليران‌		فسلير
2019-04-28 15:35:04 : IRR1SOLI0101	ح . سوليران‌		فسليرح
2019-04-28 15:35:04 : IRO1LAMI0001	لاميران‌		فلامي
2019-04-28 15:35:04 : IRR1LAMI0101	ح . لاميران‌		فلاميح
2019-04-28 15:35:04 : IRO1LMIR0001	لوله‌وماشين‌سازي‌ايران‌		فلوله
2019-04-28 15:35:04 : IRR1LMIR0101	ح . لوله‌وماشين‌سازي‌ايران‌		فلولهح
2019-04-28 15:35:04 : IRO1PMET0001	پارس‌ متال‌		فمتال
2019-04-28 15:35:04 : IRR1PMET0101	ح . پارس‌ متال‌		فمتالح
2019-04-28 15:35:04 : IRO1ALMR0001	آلومراد		فمراد
2019-04-28 15:35:04 : IRR1ALMR0101	ح . آلومراد		فمرادح
2019-04-28 15:35:04 : IRO1MSMI0001	ملي‌ صنايع‌ مس‌ ايران‌		فملي
2019-04-28 15:35:04 : IRR1MSMI0101	ح . ملي‌ صنايع‌ مس‌ ايران‌		فمليح
2019-04-28 15:35:04 : IRO1ENAZ0001	گسترش‌صنايع‌انرژي‌آذرآب‌		فنرژي
2019-04-28 15:35:04 : IRR1ENAZ0101	ح . گسترش‌صنايع‌انرژي‌آذرآب‌		فنرژيح
2019-04-28 15:35:04 : IRO1NALM0001	نورد آلومينيوم‌		فنوال
2019-04-28 15:35:04 : IRR1NALM0101	ح . نورد آلومينيوم‌		فنوالح
2019-04-28 15:35:04 : IRO1NGFO0001	نوردوقطعات‌ فولادي‌		فنورد
2019-04-28 15:35:04 : IRR1NGFO0101	ح . نوردوقطعات‌ فولادي‌		فنوردح
2019-04-28 15:35:04 : IRO1FVAN0001	فولادكاويان‌		فوكا
2019-04-28 15:35:04 : IRR1FVAN0101	ح . فولادكاويان‌		فوكاح
2019-04-28 15:35:04 : IRO1FOLD0001	فولاد مباركه اصفهان		فولاد
2019-04-28 15:35:04 : IRR1FOLD0101	ح . فولاد مباركه اصفهان		فولادح
2019-04-28 15:35:04 : IRO1FAIR0001	فولاد آلياژي ايران		فولاژ
2019-04-28 15:35:04 : IRR1FAIR0101	ح.فولاد آلياژي ايران		فولاژح
2019-04-28 15:35:04 : IRO1GPRS0001	قندپارس‌		قپارس
2019-04-28 15:35:04 : IRR1GPRS0101	ح . قندپارس‌		قپارسح
2019-04-28 15:35:04 : IRO1GPSH0001	فرآورده‌هاي‌غدايي‌وقندپيرانشهر		قپيرا
2019-04-28 15:35:04 : IRR1GPSH0101	ح . قندپيرانشهر		قپيراح
2019-04-28 15:35:04 : IRO1GSBE0001	قند ثابت‌ خراسان‌		قثابت
2019-04-28 15:35:04 : IRR1GSBE0101	ح . قند ثابت‌ خراسان‌		قثابتح
2019-04-28 15:35:04 : IRO1GTOR0001	فرآوردههاي غذايي وقندتربت‌جام‌		قجام
2019-04-28 15:35:04 : IRR1GTOR0101	ح .غذايي و قنتربت‌جام‌		قجامح
2019-04-28 15:35:04 : IRO1GGAZ0001	كارخانجات‌ قند قزوين‌		قزوين
2019-04-28 15:35:04 : IRR1GGAZ0101	ح . كارخانجات‌ قند قزوين‌		قزوينح
2019-04-28 15:35:04 : IRO1GGOH0001	قند قهستان‌		قستان
2019-04-28 15:35:04 : IRR1GGOH0101	ح . قند قهستان‌		قستانح
2019-04-28 15:35:04 : IRO1GBIS0001	قند بيستون‌		قستون
2019-04-28 15:35:04 : IRR1GBIS0101	ح . قند بيستون‌		قستونح
2019-04-28 15:35:04 : IRO1GSHI0001	قند شيرين‌ خراسان‌		قشرين
2019-04-28 15:35:04 : IRR1GSHI0101	ح . قند شيرين‌ خراسان‌		قشرينح
2019-04-28 15:35:04 : IRO1SHKR0001	شكرشاهرود		قشكر
2019-04-28 15:35:04 : IRR1SHKR0101	ح . ‌ شكرشاهرود		قشكرح
2019-04-28 15:35:04 : IRO1GHND0001	شهد		قشهد
2019-04-28 15:35:04 : IRR1GHND0101	ح . شهد		قشهدح
2019-04-28 15:35:04 : IRO1GBJN0001	قندشيروان‌ ،قوچان‌ وبجنورد		قشير
2019-04-28 15:35:04 : IRR1GBJN0101	ح . قندشيروان‌ ،قوچان‌ وبجنورد		قشيرح
2019-04-28 15:35:04 : IRO1GESF0001	قنداصفهان‌		قصفها
2019-04-28 15:35:04 : IRR1GESF0101	ح . قنداصفهان‌		قصفهاح
2019-04-28 15:35:04 : IRO1GLOR0001	قند لرستان‌		قلرست
2019-04-28 15:35:04 : IRR1GLOR0101	ح . قند لرستان‌		قلرستح
2019-04-28 15:35:04 : IRO1GMRO0001	قند مرودشت‌		قمرو
2019-04-28 15:35:04 : IRR1GMRO0101	ح . قند مرودشت‌		قمروح
2019-04-28 15:35:04 : IRO1GNJN0001	قندنقش‌جهان‌		قنقش
2019-04-28 15:35:04 : IRR1GNJN0101	ح . قندنقش‌جهان‌		قنقشح
2019-04-28 15:35:04 : IRO1GNBO0001	قند نيشابور		قنيشا
2019-04-28 15:35:04 : IRR1GNBO0101	ح . قند نيشابور		قنيشاح
2019-04-28 15:35:04 : IRO1GHEG0001	قندهكمتان‌		قهكمت
2019-04-28 15:35:04 : IRR1GHEG0101	ح . قندهكمتان‌		قهكمتح
2019-04-28 15:35:04 : IRO1ABGN0001	آبگينه‌		كابگن
2019-04-28 15:35:04 : IRR1ABGN0101	ح . آبگينه‌		كابگنح
2019-04-28 15:35:04 : IRO1NSAZ0001	فرآورده‌هاي‌نسوزآذر		كاذر
2019-04-28 15:35:04 : IRR1NSAZ0101	ح . فرآورده‌هاي‌نسوزآذر		كاذرح
2019-04-28 15:35:04 : IRO1KESF0001	كاشي‌ اصفهان‌		كاصفا
2019-04-28 15:35:04 : IRR1KESF0101	ح . كاشي‌ اصفهان‌		كاصفاح
2019-04-28 15:35:04 : IRO1KALA0001	بورس كالاي ايران		كالا
2019-04-28 15:35:04 : IRO1BAMA0001	باما		كاما
2019-04-28 15:35:04 : IRR1BAMA0101	ح . باما		كاماح
2019-04-28 15:35:04 : IRO1KVEH0001	فولاد كاوه جنوب كيش		كاوه
2019-04-28 15:35:04 : IRR1KVEH0101	ح .فولاد كاوه جنوب كيش		كاوهح
2019-04-28 15:35:04 : IRO1ITAL0001	ايتالران‌		كايتا
2019-04-28 15:35:04 : IRR1ITAL0101	ح . ايتالران‌		كايتاح
2019-04-28 15:35:04 : IRO1IRGC0001	ايران‌ گچ‌		كايگچ
2019-04-28 15:35:04 : IRR1IRGC0101	ح . ايران‌ گچ‌		كايگچح
2019-04-28 15:35:04 : IRO1BAFG0001	معادن‌ بافق‌		كبافق
2019-04-28 15:35:04 : IRR1BAFG0101	ح . معادن‌ بافق‌		كبافقح
2019-04-28 15:35:04 : IRO1KBRS0001	كارگزاران بورس اوراق بهادار		كبورس
2019-04-28 15:35:04 : IRO1KPRS0001	كاشي‌ پارس‌		كپارس
